,territorio,anno,detenuti,detenuti_stranieri,rischio_di_criminalità_percepito_dalle_famiglie
0,Abruzzo,2008,1359.0,350.0,28.6
1,Abruzzo,2009,1678.0,440.00000000000006,22.6
2,Abruzzo,2010,1965.0,447.0,22.0
3,Abruzzo,2011,1965.0,407.0,17.6
4,Abruzzo,2012,2006.0,371.99999999999994,17.0
5,Abruzzo,2013,1894.0,298.0,25.4
6,Abruzzo,2014,1935.0,239.99999999999991,27.1
7,Abruzzo,2015,1817.0,192.0,32.4
8,Abruzzo,2016,1691.0,214.99999999999997,32.7
9,Abruzzo,2017,1740.0,210.00000000000003,25.8
10,Abruzzo,2018,1850.0,341.0,23.9
11,Abruzzo,2019,1973.0,349.0,21.5
12,Abruzzo,2020,2064.0,372.99999999999994,18.7
13,Abruzzo,2021,1659.0,286.0,14.1
14,Abruzzo,2022,1735.0,300.00000000000006,16.3
15,Abruzzo,2023,1875.0,318.99999999999994,18.4
16,Basilicata,2008,363.0,65.0,12.0
17,Basilicata,2009,533.0,160.0,7.2
18,Basilicata,2010,577.0,104.99999999999999,5.2
19,Basilicata,2011,615.0,82.99999999999999,8.5
20,Basilicata,2012,472.0,55.0,14.6
21,Basilicata,2013,454.0,53.00000000000001,14.1
22,Basilicata,2014,442.0,53.0,10.0
23,Basilicata,2015,455.0,64.99999999999999,14.0
24,Basilicata,2016,458.0,99.0,16.4
25,Basilicata,2017,540.0,95.0,17.6
26,Basilicata,2018,499.0,74.99999999999999,8.9
27,Basilicata,2019,559.0,71.99999999999999,12.8
28,Basilicata,2020,471.0,55.0,11.5
29,Basilicata,2021,399.0,42.0,12.5
30,Basilicata,2022,376.0,44.0,14.4
31,Basilicata,2023,406.0,53.00000000000001,14.0
32,Calabria,2008,1805.0,410.0,30.5
33,Calabria,2009,2286.0,648.9999999999999,20.2
34,Calabria,2010,2866.0,791.0,22.8
35,Calabria,2011,3309.0,862.0,14.5
36,Calabria,2012,3043.0,604.0,17.7
37,Calabria,2013,2916.0,502.00000000000006,21.5
38,Calabria,2014,2653.0000000000005,327.0,19.9
39,Calabria,2015,2397.0,329.0,24.1
40,Calabria,2016,2405.0,441.00000000000006,27.1
41,Calabria,2017,2651.0,547.0,20.1
42,Calabria,2018,2606.0,521.9999999999999,15.5
43,Calabria,2019,2805.0,613.0000000000001,19.0
44,Calabria,2020,2898.0,604.0000000000001,17.8
45,Calabria,2021,2447.0,461.0,10.9
46,Calabria,2022,2681.0,543.0,16.2
47,Calabria,2023,2928.0,626.0,10.7
48,Campania,2008,6164.0,801.0,53.9
49,Campania,2009,7185.0,905.9999999999999,48.9
50,Campania,2010,7594.0,1000.9999999999999,40.2
51,Campania,2011,7610.0,946.0,45.4
52,Campania,2012,7922.0,990.0,38.8
53,Campania,2013,8165.0,951.0000000000001,36.0
54,Campania,2014,7966.0,959.9999999999999,33.3
55,Campania,2015,7188.0,874.0,45.3
