,territorio,anno,popolazione_totale,detenuti,detenuti_maschi,detenuti_stranieri,furti_con_strappo_denunciati,furti_denunciati,furti_in_abitazione_denunciati,omicidi_volontari_consumati,rapine_denunciate,rapine_in_banca_denunciate,vittime_di_omicidio_maschi,vittime_di_omicidio_femmine,indice_di_affollamento,rischio_di_criminalità_percepito_dalle_famiglie,stranieri_residenti
0,Abruzzo,2005,1292779,1620,1576,392,267,23031,2363,5,468,57,,,123,13,41062
1,Abruzzo,2006,1296630,1893,1865,587,301,23231,1887,10,418,58,,,71,17,43908
2,Abruzzo,2007,1311048,1062,1043,209,453,23828,2624,6,483,53,,,92,24,55209
3,Abruzzo,2008,1321618,1359,1313,350,337,25164,2875,9,537,77,7,2,114,29,63802
4,Abruzzo,2009,1325731,1678,1626,440,231,23094,2068,3,473,71,3,0,135,23,68332
5,Abruzzo,2010,1328889,1965,1910,447,214,22071,2092,7,362,44,3,4,130,22,71728
6,Abruzzo,2011,1331236,1965,1902,407,183,23587,3152,8,343,41,3,5,131,18,75988
7,Abruzzo,2012,1332164,2006,1942,372,184,25353,3713,16,455,35,7,9,125,17,80952
8,Abruzzo,2013,1329501,1894,1821,298,322,26092,3994,11,511,47,6,5,126,25,83494
9,Abruzzo,2014,1325400,1935,1864,240,274,27073,4287,11,452,44,5,6,121,27,84787
10,Abruzzo,2015,1318841,1817,1746,192,191,27370,4667,4,417,23,2,2,107,32,83857
11,Abruzzo,2016,1313470,1691,1621,215,167,25253,4645,6,373,10,4,2,109,33,83160
12,Abruzzo,2017,1305657,1740,1672,210,157,21224,3916,6,332,6,3,3,115,26,83145
13,Abruzzo,2018,1300645,1850,1773,341,159,19790,3271,10,311,10,5,5,120,24,84611
14,Abruzzo,2019,1293941,1973,1883,349,89,17143,3059,6,285,3,3,3,125,22,83504
15,Abruzzo,2020,1281012,2064,1973,373,68,14787,2938,7,268,6,2,5,100,19,82568
16,Abruzzo,2021,1275950,1659,1594,286,71,10025,1815,3,216,3,2,1,105,14,80988
17,Abruzzo,2022,1272627,1735,1678,300,77,10294,2342,4,234,3,2,2,113,16,82904
18,Abruzzo,2023,1269571,1875,1801,319,94,13292,2791,8,242,2,5,3,116,18,85828
19,Basilicata,2005,590047,457,437,91,13,3752,392,7,63,8,,,125,14,6190
20,Basilicata,2006,586466,446,424,86,6,3649,277,5,59,8,,,68,12,6294
21,Basilicata,2007,586004,298,290,42,21,4156,613,4,40,7,,,83,10,9004
22,Basilicata,2008,584825,363,349,65,21,4663,598,4,62,8,4,0,122,12,10803
23,Basilicata,2009,582517,533,511,160,21,4052,468,2,58,15,2,0,131,7,11685
24,Basilicata,2010,580674,577,577,105,20,3747,407,1,46,4,0,1,151,5,12927
25,Basilicata,2011,579216,615,579,83,16,4510,659,5,54,7,3,2,107,8,14309
26,Basilicata,2012,577398,472,456,55,27,4695,905,6,43,5,2,4,103,15,15783
27,Basilicata,2013,575642,454,436,53,37,4781,913,3,77,9,2,1,100,14,17051
28,Basilicata,2014,573057,442,422,53,33,4569,827,2,61,11,2,0,97,10,17957
29,Basilicata,2015,569727,455,444,65,30,4878,695,7,61,3,4,3,97,14,18812
30,Basilicata,2016,566251,458,451,99,31,4654,667,1,53,6,0,1,130,16,19887
31,Basilicata,2017,562836,540,528,95,21,4272,737,1,67,1,1,0,120,18,21555
32,Basilicata,2018,558587,499,481,75,23,4131,872,4,61,4,4,0,135,9,22210
33,Basilicata,2019,553254,559,544,72,37,3833,787,6,72,3,3,3,115,13,22569
34,Basilicata,2020,545130,471,457,55,18,3229,586,1,55,6,1,0,100,12,22011
35,Basilicata,2021,541168,399,399,42,7,2285,511,3,44,1,3,0,94,12,22184
36,Basilicata,2022,537577,376,376,44,10,2171,523,1,43,0,1,0,114,14,24211
37,Basilicata,2023,533233,406,406,53,15,2595,670,1,54,0,1,0,130,14,25410
38,Calabria,2005,1981651,2363,2332,425,324,26879,1909,76,675,44,,,128,16,31515
39,Calabria,2006,1971631,2347,2309,449,296,29661,2061,69,766,57,,,80,27,31972
